date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1885-11-28,United States,Canada,0,1,Friendly,Newark,United States,FALSE
1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,FALSE
11/8/1925,United States,Canada,6,1,Friendly,New York,United States,FALSE
11/6/1926,United States,Canada,6,2,Friendly,New York,United States,FALSE
5/19/1935,United States,Scotland,1,5,Friendly,New York,United States,FALSE
6/9/1935,United States,Scotland,1,4,Friendly,Newark,United States,FALSE
9/26/1948,United States,Israel,3,1,Friendly,East Rutherford,United States,FALSE
6/19/1949,United States,Scotland,0,4,Friendly,New York,United States,FALSE
9/21/1949,United States,Cuba,5,2,FIFA World Cup qualification,Mexico City,Mexico,TRUE
6/8/1953,United States,England,3,6,Friendly,New York,United States,FALSE
4/28/1957,United States,Mexico,2,7,FIFA World Cup qualification,Long Beach,United States,FALSE
7/6/1957,United States,Canada,2,3,FIFA World Cup qualification,St. Louis,United States,FALSE
5/28/1959,United States,England,1,8,Friendly,Los Angeles,United States,FALSE
11/6/1960,United States,Mexico,3,3,FIFA World Cup qualification,Los Angeles,United States,FALSE
5/27/1964,United States,England,0,10,Friendly,New York,United States,FALSE
3/7/1965,United States,Mexico,2,2,FIFA World Cup qualification,Los Angeles,United States,FALSE
9/15/1968,United States,Israel,3,3,Friendly,New York,United States,FALSE
9/25/1968,United States,Israel,0,4,Friendly,Philadelphia,United States,FALSE
11/3/1968,United States,Bermuda,6,2,FIFA World Cup qualification,Kansas City,United States,FALSE
5/11/1969,United States,Haiti,0,1,FIFA World Cup qualification,San Diego,United States,FALSE
8/29/1972,United States,Canada,2,2,FIFA World Cup qualification,Baltimore,United States,FALSE
9/10/1972,United States,Mexico,1,2,FIFA World Cup qualification,Los Angeles,United States,FALSE
8/3/1973,United States,Poland,0,1,Friendly,Chicago,United States,FALSE
8/10/1973,United States,Poland,0,4,Friendly,San Francisco,United States,FALSE
8/12/1973,United States,Poland,1,0,Friendly,New Britain,United States,FALSE
9/9/1973,United States,Bermuda,1,0,Friendly,Hartford,United States,FALSE
9/8/1974,United States,Mexico,0,1,Friendly,Dallas,United States,FALSE
6/24/1975,United States,Poland,0,4,Friendly,Seattle,United States,FALSE
5/23/1976,United States,Italy,0,4,Friendly,Washington,United States,FALSE
5/28/1976,United States,Brazil,0,2,Friendly,Seattle,United States,FALSE
5/31/1976,United States,England,1,3,Friendly,Philadelphia,United States,FALSE
10/3/1976,United States,Mexico,0,0,FIFA World Cup qualification,Los Angeles,United States,FALSE
10/20/1976,United States,Canada,2,0,FIFA World Cup qualification,Seattle,United States,FALSE
9/30/1977,United States,El Salvador,0,0,Friendly,Monterey Park,United States,FALSE
10/6/1977,United States,China PR,1,1,Friendly,Washington,United States,FALSE
10/10/1977,United States,China PR,1,0,Friendly,Atlanta,United States,FALSE
10/16/1977,United States,China PR,2,1,Friendly,San Francisco,United States,FALSE
5/2/1979,United States,France,0,6,Friendly,East Rutherford,United States,FALSE
10/25/1980,United States,Canada,0,0,FIFA World Cup qualification,Fort Lauderdale,United States,FALSE
11/23/1980,United States,Mexico,2,1,FIFA World Cup qualification,Fort Lauderdale,United States,FALSE
5/30/1984,United States,Italy,0,0,Friendly,East Rutherford,United States,FALSE
10/6/1984,United States,Cura̤ao,4,0,FIFA World Cup qualification,St. Louis,United States,FALSE
10/9/1984,United States,El Salvador,3,1,Friendly,Los Angeles,United States,FALSE
10/11/1984,United States,Colombia,1,0,Friendly,Los Angeles,United States,FALSE
11/30/1984,United States,Ecuador,0,0,Friendly,Hempstead,United States,FALSE
12/2/1984,United States,Ecuador,2,2,Friendly,Miami,United States,FALSE
2/8/1985,United States,Switzerland,1,1,Friendly,Tampa,United States,FALSE
4/4/1985,United States,Canada,1,1,Friendly,Portland,United States,FALSE
5/15/1985,United States,Trinidad and Tobago,2,1,FIFA World Cup qualification,St. Louis,United States,FALSE
5/19/1985,United States,Trinidad and Tobago,1,0,FIFA World Cup qualification,Torrance,United States,FALSE
5/31/1985,United States,Costa Rica,0,1,FIFA World Cup qualification,Torrance,United States,FALSE
6/16/1985,United States,England,0,5,Friendly,Los Angeles,United States,FALSE
